Name,State,Title,Description
"Effigy Mounds National Monument in Iowa Preserves Three Prehistoric Sites","Iowa","Effigy Mounds National Monument in Iowa Preserves Three Prehistoric Sites","	Declared a national monument in 1949, Effigy Mounds National Monument is located in Allamakee and Clayton Counties in northeastern Iowa. The park preserves three prehistoric sites that contain mounds built by the Native American population for burial or religious purposes. These mounds are common throughout the Midwest but this area was one of just a handful that was home to a culture that built effigy mounds in shapes of animals, including birds, reptiles, and mammals. In all, the 2,500-acre park includes 206 mounds, 31 of which are considered to be effigy mounds. The others are conical or linear and may have been used for other purposes such as residences. The mounds continue to be considered sacred sites by the many tribes of Native Americans that live in the area. Therefore, special events of a ceremonial nature are often held here. Visitors may explore the mounds on a self-guided tour or via a guided ranger walk, which includes information on the peoples of the area and on the practice of building effigy and other mounds. There are no driving roadways inside the park so no way to explore by automobile. All exploration is done by walking or hiking. Several trails lead to the mounds and through 81.5 acres of prairie where guests can view a variety of plants, birds, and other wildlife. One short trail is accessible to handicapped visitors but most of the others are steep and at least moderately strenuous. It would take several days to experience all the trails within the park but a two- to three-hour visit is sufficient to see many of the effigy mounds. The Visitor Center, located along the Upper Mississippi River, offers a short film about mound building cultures of the Native American tribes and also provides hands-on displays for children and formal museum exhibits of ancient Indian artifacts. The Visitor Center also has a bookstore and provides trail maps and other brochures for visitors. A number of ranger-led activities also take place or depart from the Visitor Center. Several yearly events are held at Effigy Mounds National Monument. The annual Hawk Watch weekend profiles the birds of prey that make their home in this part of Iowa and educates visitors as to how they can help save these birds, some of which are rare or endangered. Also celebrated each year is Bald Eagle Appreciation Day, which focuses on the national bird of the United States and includes talks and videos. No camping is available within the park but neighboring towns and state parks do offer camping facilities, restaurants, stores, and other conveniences. Bicycles are not permitted past the parking lot in order to preserve the fragility of the mounds."
"Embassy Suites Hotel Des Moines On The River - Des Moines IA Embassy Suites Hotel","Iowa","Embassy Suites Hotel Des Moines On The River - Des Moines IA Embassy Suites Hotel","The Embassy Suites Hotel Des Moines -On The River location is a four star property in the downtown Des Moines area. The hotel has more than 200 rooms done up in a suite-style format. While mostly reserved for couples, families should note that the couch in the suites is a fold-out, meaning that some suite options will accommodate up to six people. This makes the hotel very popular with family travelers and groups. Located near the river, the hotel is connected to the East Village by virtue of being just a short walk. Most of the downtown area will be accessible on foot from the hotel. There is also a mini bus that will shuttle guests around the downtown area. The shuttle does not run on a set schedule although it does have some loosely established routes. Service to and from the airport is also available. In the winter, it is possible to work out drop off and pick up times with the driver to avoid being out in the inclement Iowa weather. The Embassy Suites Hotel Des Moines - On The River is close to Drake University. If you are visiting the University, the hotel has some special rate packages so be sure to mention this when booking your room. Seasonal packages are also available. During the State Fair you may want to call ahead to book in advance as the suite-style rooms book up quickly to accommodate the fair traffic. The hotel has a pool, Jacuzzi and fitness center for those who like to use those amenities, although in the summer some guests have complained about the number of children in the pool. Lap-type swimmers will want to swim early or late. There is also a business center and papers are available in the lobby for those who need to continue to do business on the road."
"Family Museum of Arts and Science","Iowa","Family Museum of Arts and Science, Bettendorf, IA - Museum","If you are in Iowa and have children under the age of 8, you will want to go to the Family Museum of Arts and Science in Bettendorf, IA. This museum is sure to get the attention of the young folk and encourage and challenge their interests in the arts and sciences. The museum has a number of excellent exhibits that are interactive and will get the attention of the children. There are also a number of programs available that you may also want to drop in on and allow them to take part in. Some of the permanent exhibits in the museum are for instruction, and other ones are for fun. There is a balance between the two when children come here. The exhibits also cover a wide variety of the sciences, too. Some of the exhibits include the Amazing Acres, which teaches about agriculture and weather. The exhibits in this section enable the children to touch a 10-foot tornado, learn about precipitation, and even create a cloud. Another one is called Busy Bodies: Healthy Choices, and this involves traveling through a 14-foot high human heart, enjoying a tasty meal, and having fun on a 20-foot long wall for rock climbing. Three other exhibits deal with music, sculptures, and energy. Fun can be found in even more places for the children, as they come across two other play areas. There is the Kingdom for Kids Playground which offers a lot of playground equipment, and also the PlayHouse!, which is a play house. Other exhibits are also brought in on a temporary basis, such as the Prehistoric Playground, which will be coming soon. When it comes to the arts, classes are also available for all ages. Some programs and classes are going on almost every day. This includes their arts-based preschool program, which provides lessons in reading and writing. The museum also has some drop-in programs that do not require any pre-registration. Some of these programs are recurring, and some of them are repeated more than once in a day - letting you choose your best time. Some of these programs include Music in Motion, Acting Up!, Open Exploration Art Studio, PlayHouse Playtime, Communications Lab, Magnificent Murals, and more. You will need to check the age range, but some of them welcome 3-year olds and up. The museum also offers Dance programs all year long. They teach several styles of dance, including ballet, hip-hop, modern, tap, jazz, and pointe. The instructors are professional, and they even offer some classes for adults, too. For those who want extra training, the museum works with the Lime Light Dance Company, which trains children ten years old and up, and they must take three classes a week. A Summer Camp is also available. The camp works with children who are between three-year olds up through fourth graders. Programs are also available for a Museum educator to come and present a special packaged program to your school. They will need some volunteers to help run the activities. Some of the programs available include Mind Games (math), Flight Factory Festival (birds and flying insects), Family Science Night, which provides ten different science stations. There is so much to see and do at the Family Museum of Arts and Science in Bettendorf, IA. Your young children will be glad you stopped for their future and fun. The museum is open every day. On Monday through Thursday, from 9 AM to 8 PM; on Friday and Saturday from 9 AM until 5 PM; and on Sunday from Noon to 5 PM."
"Grand Harbor Resort and Waterpark - Dubuque IA Grand Harbor Resort Waterpark","Iowa","Grand Harbor Resort and Waterpark - Dubuque IA Grand Harbor Resort Waterpark","The Grand Harbor Resort and Waterpark is one of Dubuque's many water themed attractions. This combination hotel and water park offers corporate and group discounts that combine lodging with access to the water park, water game areas and the cave arcade.  It presents a good option for families who need a getaway and business travelers bringing along the whole family. Even more specifically targeting business traffic is the corporate package. This package includes breakfast for one at the Riverwalk restaurant or room service, water park pass, free transportation to Anytime Fitness, one drink voucher to the Riverwalk Lounge, free paper, access to the business center, and shuttle to and from the airport. Small conference meeting rooms are also available, and there is free wireless throughout the hotel. For families, the Grand Harbor Resort and Waterpark offers a pair of water feature packages. The first is the Wet Wild and Fun package that includes accommodations and water park passes on Fridays and Saturdays and features a snowflake hunt, splash bash, movie night, face painting, and coloring contest. The other package is the Lil Squirt Package that includes deluxe room accommodations, water park tickets, $25.00 voucher for the Riverwalk Restaurant, 40 arcade tokens, and ten percent off anything in the gift shop. For those just wanting to use the water park, day passes are available although prices vary depending on the day of the week. The park is open year round Thursday to Monday. However, the hours change daily so day trippers will want to call in advance to be sure they are getting in a full day for the money. The water park features 25,000 square feet of Mississippi themed water attractions. This includes water slides, indoor/outdoor tube rides, rope ladders, water spouts, water chutes, squirt guns, powerful water cannons, a lazy river and two hot tubs. Areas are split for older and younger children. Group rates are available for both the water park and the hotel for groups with at least fifteen individuals. For more information about the park or hotel and reservations call the resort at (563) 690-4000. They are located at 350 Bell Street."
"Harrah's Casino","Iowa","Harrah's Casino - Council Bluffs IA - Harrah's Casino Slots Blackjack","Harrah's Casino in Council Bluffs is a member of the Harrah's - Ceasar's Palace family. This local style casino is located on the river across from downtown Omaha and easily visible on the waterfront at night. Travelers driving in from Iowa or Nebraska will be able to easily spot the hotel and find themselves a place to park. Most visitors to the casino drive. Transfers from the airport are available, but the casino is considered an area attraction rather than a destination unto itself. Most of the casino players are from the Omaha metro area, and many locals enjoy a weekend evening at the casino. Travelers coming over from the hotels also flesh out the crowd. One way Harrah's accommodates the local traffic is by organizing a series of bus line routes that run to local cities throughout the week. Essentially, the bus coach will leave in the morning and return in the afternoon, allowing players a day at the casino without the hassle of driving. Chartering one of these buses has become a popular day out option for many of the local retirement communities. Harrah's Casino in Council Bluffs does offer live entertainment and seasonal concert series. Live music is often local performers or regional groups, with the larger acts advertised well in advance. The concert space is more intimate, and can become hot during the course of a show so patrons who are heat sensitive will want to dress accordingly. The hotel facilities associated with the Casino receive middling marks from visitors. The prices are reasonable, targeted at modest Midwestern budgets. Rooms are simple, with a limited number of amenities at the hotel aside from a fitness center. The main attraction is the casino itself, which features more than 1,000 slot machines, card tables, craps and other gambling options."
"Harrah's Council Bluffs","Iowa","Harrah's Council Bluffs","Harrah's Council Bluffs Casino and Hotel is a river boat casino located at 1 Harrah's Boulevard in Council Bluffs, Iowa. The facility offers luxury accommodations with entertainment and amenities designed to make your stay as enjoyable as possible. There are also a number of activities on site such as the Fitness Center, Golf, shopping and space to hold events.  The two-hundred and fifty room hotel has two bars and four restaurants. It is one of three Council Bluff casinos that include the Ameristar Casino Hotel Council Bluffs and Horseshoe Council Bluffs. It is the metropolitan area's largest casino and opened during 1996. In 2002 the facility was renovated. The hotel's fitness center is 2340 square feet with state of the art equipment. The facility which can be accessed with the key to guest rooms is open twenty-four hours a day to make guest more comfortable. There are two golf courses easily accessible from the facility. The fees charged at the courses can be obtained by contacting them directly. Harrah's Council Bluffs specializes in wedding ceremonies and receptions; they offer same sex couples the same services as traditional couples. The facility has options for the luncheons, dinners and showers for the ceremony as well. Those wishing to obtain additional information should contact the hotel and casino directly."
"Ice Cave","Iowa","Ice Cave - Decorah IA - Ice Cave exploration State Preserve","The Decorah Ice Cave, also known as the Decorah Ice Cave State Preserve, is one of the largest glaciers in the Midwest. It consists of a three acre piece of land on the edge of the Barbara Barnhart Van Peenen Memorial Park. This is not a commercial cave, and visitors explore it at their own risk. This cave is for experienced cavers, and is not meant for beginners to explore without an experienced guide. The cave was gifted to the city of Decorah in 1954, and it was declared a Geological State Preserve in 1973. In 1978 it was placed on the National Register of Historical Places. Visitors to the cave say it is an amazing sight. Even in the middle of July and August the cave is about only 35 degrees, and ice is still on the walls. Since this is not a commercial cave there generally is not anyone in the area. The entrance to the cave is well marked, and you will have to climb a worn set of stone steps to the cave entrance. Cavers can explore one hundred feet of this one hundred and fifty foot cave. There is a stop barrier where the ice on the floor begins, and since the temperature is constantly thirty-five degrees normal cave life does not exist. Along with the ice walls you will see a few fossils and water dripping, but no more. While admission to the cave is free, there are no guides or park rangers available. Visitors need to bring their own equipment and be familiar with basic cave exploration and climbing. It is also recommended to bring knee pads, and dress for the cold temperatures. This area does not have an exact address or phone number (no visitors office), however by contacting any establishment in Decorah, visitors will be able to get directions."
"Iowa State Fairgrounds - Des Moines IA Iowa State Fairgrounds rides shows","Iowa","Iowa State Fairgrounds - Des Moines IA Iowa State Fairgrounds rides shows","The Iowa State Fairgrounds is located on the outskirts of the capital city of Des Moines.  Annually each fall, the fairgrounds play host to one of the largest fairs in the state. Attracting large numbers of visitors every year, the Iowa State Fair has been a tradition since 1854 with a different theme each year. This location has been featured in motion pictures and Broadway musicals. It has facilities for large livestock shows, a food department, art show space, and hundreds of competitive events and contests surrounded by a 160 acre campground. The grounds are extensive, so comfortable walking shoes are a must. Some of the main buildings are the Agricultural group of buildings, Pioneer Hall, the Pavilion, Administration Buildings and Grandstand. Exhibit hounds will also want to map out the 4-H Exhibits building, Cultural Center, Family Center, Earth-Sheltered Home, Walnut Center, Iowa Tourism Building and the Des Moines Service Center. There are printed maps available, as this fairground is almost 400-acres, with parking facilities for about 13,000 cars. Along with hosting a major fair every year, there are many meetings and expositions held here, such as flea markets and gun shows. There are climate controlled buildings that can accommodate a large number of visitors. There is a full-time planning staff that helps arrange any event complete with caterers, decorators, and planning specialists. While every building at the Iowa State Fairgrounds can be rented there are a few regulations to watch. There are a few buildings that require a well groomed staff, and others with a minimum required number of staff for each building. Depending on the type of event there are regulations on the hours that the buildings can be open. This is a multi-functional facility, and is available for many uses to the general public. For more information on rental prices, fair schedule, and reservations contact the fairgrounds office at (515) 262-3111. Arrangements can also be made by stopping by the physical office located at 300 East Grand Ave."
"Jordan Creek Town Center is over two million square feet of shopping and entertainment","Iowa","Jordan Creek Town Center is over two million square feet of shopping and entertainment","The Jordan Creek Town centre is a large two million square foot shopping and entertainment centre. The centre is located in West Des Moines, Iowa. The centre is two levels of enclosed shopping featuring upscale fashion in a streetscape design. The centre is highlighted by a 3.5 acre lake that is surrounded by walkways and bike trails along with a boardwalk with waterfront dining, hotel and amphitheater. The centre offers the following services to guests, ATM's, Family restroom, High speed wireless internet, Mall Gift Cards, Welcome Centre, Wheelchairs, Nursing Lounge, comfortable soft seating areas and newspaper vending. There are over 150 clothing, entertainments, bath and beauty and food stores in the mall. Some of these include apparel stores such as 346 Brooks Brother, Hollister, Abercrombie & Fitch, Hot Topic, American Eagle Outfitters, J Crew, J. Jill, Baby Gap, Banana Republic, Justice and Delia's. Other stores include Icing, Iowa Favorites, AT&T, Barnes & Noble, Bath & Body Works and Bed Bath and Beyond. The large range of food stores include, Auntie Anne's Pretzels, Bravo! Cucina, Joe's Crab Shack, Buffalo Wild Wings Grill & Bar, Champps Restaurant and Bar, On the Border, Orange Julius, Panera Bread, Charley's Grilled Subs, Cheesecake Factory, Cinnabon, Cold Stone Creamery and Sumari Sushi and Hibachi. Events held at the mall include the Jordan Creek Mall walkers. The centre has joined with Mercy Medical Centre and offers a free self paced walking program for visitors of the mall to participate in and to learn more about health, education, fitness and fun. A Women's Club has also been started to focus on women's issues such as health, beauty, friendship and shopping. The centre also supports Greater Des Moines Habitat for Humanity. This program works to eliminate poverty housing in the Des Moines community. Shoppers are invited to participate in fundraising events, awareness campaigns and volunteer opportunities that will benefit Greater Des Moines Habitat for Humanity. This program is a partnership between the mall's owner General Growth Properties and Habitat for Humanity International."
"Kaleidoscope at The Hub is an outdoor mall and a place for shoppers to meet, eat and shop","Iowa","Kaleidoscope at The Hub is an outdoor mall and a place for shoppers to meet, eat and shop","The Kaleidoscope at The Hub is the only mall located in downtown Des Moines, Iowa. The mall is owned and managed by the Hubbell Realty Company and is the convenient place for visitors to meet, eat and shop. The hub has over 30 restaurants, specialty shops and service centers and is opened from Monday to Saturday. The mall is an enclosed three storey mall with seven skywalk links to major downtown Des Moines office buildings. Over 15,000 people use the skywalks on a daily basis. The mall has free WIFI available to all visitors. The third floor of the mall is the food court that includes three sit-down restaurants. Food outlets within the mall include Burger King, Maid Rite, subway and Bruegger's Bagels. Restaurants at The Hub include such as JJ Jasmine Thai Restaurant, Great Midwestern Caf, and coffee shop Freidrich's Coffee. The food court is very popular during the lunch period with many of the 70,000 workers in the area having lunch at the hub and doing some shopping during their lunch break. Fashion stores within the hub include Christopher and Banks, JNK Wears and the Stadium Store. A branch of the US Bank is located at Main Street of The Hub. Major events are held throughout the year at the mall and include art exhibits, fashion shows, Christmas events, Halloween and thanksgiving parties and school programs. The mall is professionally marketed and supports retailers within the mall by the management from Hubbell Realty Co. The mall offers short term and permanent leasing options for retailers. Services offered by the mall include free Wi-Fi for all shoppers, wheelchair and stroller rental, restrooms, comfortable seating and information regarding the mall, their retailers and any upcoming events and programs."
"Kennedy Mall was one of the first climate controlled malls in Iowa","Iowa","Kennedy Mall was one of the first climate controlled malls in Iowa","Kennedy Mall is located at the intersection of Dodge and Wacker Drive, Dubuque, Iowa. The mall is owned and managed by Cafaro Company and was opened in April 1970. The mall is over 700,000 square foot of retail space with over 60 store and service spaces available. The mall is a single storey building, apart from in the far west wing where it is two floors. The mall was one of the first climate controlled mall in Iowa. The three main stores in the mall were Younkers, Montgomery Ward and Rosheks Department Store. At the time of opening the mall it was the largest enclosed mall in Iowa. The mall received damage after a tornado went through the Dubuque area shortly after the mall was opened. Younkers are the only remaining original large store that still operates within the mall. The other large department stores to move into the mall are JC Penny, Cedar Rapids and Sears. Renovations were complete to the mall in the late 1980's after another tornado damaged the mall. Many cosmetic improvements were made to the mall including the opening of a food court in the northern corner of the mall. A single 795 seat auditorium movie theater was located in the mall. It was remodeled to a two screen, 300 Seat Theater in 1972, and then in the 1980's renovations a new six screen theater named Kennedy Mall Cinema 6 was built. The cinemas closed in 2007 after a new cinema complex was built in Dubuque. Fifteen retailers are still located in the mall since the mall opened. This includes Bishop's Buffett that has remained opened although it has changed hands many times. Stores that are within the mall include Aeropostale, American Eagle Outfitters, DEB, GAP, PacSun, Victoria's Secret and Verizon Wireless. The mall has recently undergone over $3 million in renovations. This work was completed in two phases and included replacing the floors, entrances, new parking lots, skylight installation and the front of the mall reconfigured so that more stores face Wacker Drive. A new children's play area that is sponsored by the Finley Hospital was included in the renovations. A new Borders book store is now located in the northeast corner of the mall where the food court previously was. Best Buy is located in the area that was the overflow parking section in the south east corner of the mall."
"Lake Manawa Beach","Iowa","Lake Manawa Beach - Council Bluffs - Lake Manawa Beach Watersports","The Lake Manawa Beach is part of the larger Lake Manawa State Park. The beach is located near the Lakeshore Country Club, and across from the Omaha Bridge Road. The nearest highways to the beach are 29 and 80. On 80, travelers can take exit 3 for the Lake or from 29 drivers will want to watch for exit 47. The lake is about 2.5 miles from each of the exits, with clear signage. The beach is billed as a good family destination and offers families the chance to camp out near the water. There are shower and bathhouse facilities available. There are 72 campsite all together, and 37 of those campsites have power hook ups. Advance campsite reservation is available through the state park reservation system online. However, half of the campsites are available on a first-come-first-serve basis. Unfortunately, Lake Manawa Beach in Council Bluffs ranks at the bottom of travelers recommended attractions for the area. There are several reasons for this. A major issue is the cleanliness of the facilities at the beach and camp area. Over the last several years many travelers have reported finding the facilities dirty and in disrepair. As a result, many visit once and do not return. The most recent reviews of the park area in 2008 did not remark on any improvements to the area. Families who are interested in the area may want to try the Lake Manawa Beach for a day trip rather than an overnight as a result. Scouting the area before camping would also be advisable. However, while the bathroom facilities got panned, there were not complaints on the picnic areas. Thus, it would be possible to have a nice picnic and day down at the water without having to get too involved with the shower situation."
"Lindale Mall and enclosed mall with other 100 stores and services","Iowa","Lindale Mall and enclosed mall with other 100 stores and services","The Lindale Mall is located at First Ave, Cedar Rapids, Iowa. The mall was opened in September 1960, is over 680,000 square foot of retail floor area in an enclosed environment. There are over 100 stores and services within the mall including three large department stores. The mall was originally planned to be an open air shopping centre but was opposed by downtown merchants. The main department stores in the mall are Sears, Von Maur and Younkers. Sear and Younkers were the original department stores in the mall. Retailers within the mall include American Eagle Outfitters, CJ Banks, Finish Line and Victoria's Secret. Outparcel properties include a Hy-Vee supermarket and Planet X Family Fun centre that occupies a former movie theater. Restaurants include Arby's, Pizza Hut, Red Lobster and Village Inn. The mall underwent a $15 million dollar expansion in 1997 that included a new 500 stall parking ramp and 500 seat food court. Dining options in the food court include Dippin' Dots, Maid Rite, Panda Express, Pretzel Maker, Sbarro, Subway and Taco Bell. Sit down restaurants include Cranky Hank's Banquet Room and HuHot Mongolian Grill. Entertainment options within the mall include the Edgar Wibble Puppet Theater, the CR Spirits profession dance team and the Science Station @ Lindale. Events that are held at the mall include community flu shots, blood pressure checks, Santa Photos, Thanksgiving parades, Halloween parties and gift wrapping. The mall has gift cards that have no Monthly fees or expiration of funds. The cards are an American Express branded gift card and can be used at over one million merchants nationwide. The gift cards are packaged in a card holder and available from $20 to $500. There is a guest services centre located within the mall near the Make-A-Wish fountain. Guest services are able to provide visitors with Wheelchairs, purchase gift cards, postage stamps, voter registration, security assistance, lost and found, the Cedar Rapids Gazette and community information. Free Wi-Fi is available for guests in the food court and centre court."
"Merle Hay Mall is still managed by the family that built the mall","Iowa","Merle Hay Mall is still managed by the family that built the mall","The Merle Hay Mall is located on the Corner of Merle Hay Road and Douglas Avenue is Des Moines, Iowa. The mall is an enclosed super-regional shopping mall with over 1.2 million square feet of retail floor space that can accommodate over 95 stores and services, where visitors have the opportunity to eat, shop, explore and play. The mall is owned by Merle Hay Mall Limited Partnership the family that built the mall in the 1950's. The Mall was opened in August 1959 as an open air plaza with 31 stores including Younker and a bowling alley that is still in operation. A movie theater and six story office building were added in 1965. In 1972 the mall was enclosed and renamed the Merle Hay Mall. In November 1978 a fire started in the original Younkers store and resulted in over $20 million in damage and ten employees were killed. The store took over a year to rebuild. The large department stores that now reside in the mall are Sears, Kohl's, Younkers and target. Some of the other 95 tenants include Fashion stores American Eagle Outfitter, DEB, Victoria's Secret, Motherhood Maternity, Foot Locker and Old Navy. Other stores include Bath & Body Works, AT&T, Radio Shack, Food stores located in the food court include Aunti Anne's Pretzels, Maid Rite, Starbucks, Villa Pizza, IHOP and Hickory Farms. The mall has undergone recent renovations such as a new main entrance and relocating certain retailers to create space for smaller stores with exterior entrances. Sears has been redeveloped to include Staples and Ulta. A kids club is available for children aged 2 to 8. Children who become a member of the Merle Hay Mall Kids Club will receive a T-shirt and membership card that can be used to receive discounts at various stores throughout the year."
"Mines of Spain Recreation Area - Dubuque IA Mines of Spain Recreation Area","Iowa","Mines of Spain Recreation Area - Dubuque IA Mines of Spain Recreation Area","The Mines of Spain Recreation Area is a 1380 acre park that has been designated as a National Historic Landmark. The area includes the Julien Dubuque's Monument at the point just above where Catfish Creek meets the Mississippi River. This park has a variety of land forms, plant species, and animals. It features 250 year old oak trees, and the area was once used for cattle, crops, logging, and mining. The E.B. Lyons Interpretive Center doubles as the visitor's center and park office. It houses exhibits that provide information and walk visitors through the history of the park. Exhibits are mostly outdoor attractions. There is a bird and butterfly garden, native prairies, woodland flower gardens, hiking trails, and a historic farm site. The Mines of Spain Recreation Area is open year round, from 4 a.m. to 10:30pm, seven days a week.  The visitor's center is open Monday through Friday from October to April; April to October the center is open seven days a week from 8am to 4pm. During the summer season there are special programs available and can be scheduled through the park manager. The park also offers canoeing in the creek and river, twelve miles of hiking trails, and four miles of cross-country skiing. While most of the trails are considered appropriate for beginner's there are some that are steep and challenging. There are self-guided nature trails, a wildlife bind and signs posted to educate guests about the different flora and fauna in the park. The park also features many picnic areas, which are designed for both family gatherings and company parties. Despite all the recreational activities at this park, there are no camping sites available. Hunting is also permitted in certain areas of the park. For more information contact the park at (563) 556-0620. It is located at 8991 Bellevue Heights, Dubuque, IA 52003."
"North Grand Mall has over 50 retailers and department stores with entertainment aplenty","Iowa","North Grand Mall has over 50 retailers and department stores with entertainment aplenty","The North Grand Mall is located on Grand Avenue, Ames, Iowa. The mall is 340,000 square foot of retail space with over 50 retailers, boutiques, restaurants and department stores. The Mall was brought in 2004 and is now owned by GK Development Inc. Retail stores within the mall include GAP, American Eagle Outfitters, Eddie Bauer, Victoria's Secret and Bath & Body Works. JC Penny, Younkers and Sears are the large department stores within the mall. Dining is available at the mall at Dinner & Dessert, Jimmy John's or Flame & Skewer. Visitors to the mall are able to view movies in the North Grand 5 Theatre or play a round of mini golf at Lunar Mini Golf. The mini golf course is located in the south wing of the mall and offers guest the opportunity to play Glow in the Dark mini golf seven days a week. The Mary Greely Kidz Zone is located near JC Penny and features a soft play area and arcade section for children who are 44'' or less. The play area is sponsored by the Mary Greeley Medical Centre and centers around healthy play and living, adult supervision is required of all children in the Kidz Zone. The mall hosts several events throughout the year. These include the North Grand Outdoor Farmers' Market and are held from May to October on Wednesday's and Saturday's. Visitors are able to purchase home baked goods and a variety of fresh locally grown produce. The markets are held in the north parking lot of JC Penny. Malloween is held at Halloween time when stores will participate in Trick or Treat, Activities are held for children under the age of 10 and bags and gifts will be provided by the mall. Flu and Pneumonia Vaccinations are held during November in the mall. These vaccinations are provided from the Mary Greely Medical Centre for a small fee. A Mall walking program is held on the first Tuesday of each month and is sponsored by Mary Greeley Medical Centre. The mall walkers use the mall to walk laps in a safe and weather friendly environment which makes the program usable by almost everyone, from new mothers with prams to the elderly who do not find it safe to exercise on the public roads. The programs include free blood pressure checks, refreshments and guest speakers throughout the year. North Grand Mall has their own brand of Gift Cards and Discover Gift Cards. The cards are available for use at all stores and restaurants through the mall. Cards can be purchased from $20 to $500."
"Old Capitol Mall located directly across from the University of Iowa","Iowa","Old Capitol Mall located directly across from the University of Iowa","The Old Capitol Mall was previously known as the Old Capitol Town Centre. The mall is located downtown of Iowa City, the University of Iowa main campus is directly adjacent to the mall. The mall has many retail stores, restaurants and university offices within the building. The mall opened in 1981 as the Old Capitol Centre and was renamed the Old Capitol Mall in 1995 with a new logo that came from the inspiration of the Old Capitol buildings dome. The mall used to have department stores such as JC Penny and Younker on the premises along with the Campus Theaters. In 1998 a large mall opened in Coralville and offered more stores and better services such as free parking to shoppers. This had a major impact on the Old Capitol Mall. Younkers could not justify keeping their store open as business was not going well as it was at the Coralville store. Many retailers who also had stores at Coralville did not renew their leases at Old Capitol when they expired. A book market that sold out of print books set up in the old JC Penny site after the Iowa City public library decided against moving to the site. A family fun centre, Planet X was set up in 2001 to try and entertain the students and curb their alcohol use, but could not maintain visitor numbers and was closed two years later. A church group known as the 24-7 Young Adult Ministry now occupies the old JC Penny site. The mall was purchased by Madison Realty Group in 1998 and changed the name of the mall again, back to Old Capitol Town Centre in 2000. The lower level of the mall has an Osco Drug store which is the store of its kind in the downtown area and is the largest store at the mall. A high speed internet gaming arcade, Linx, is located in the mall along with a Verizon Wireless retailer, a tax preparer, Hair Salon and a LS Nails salon. The mall receives majority of the shoppers from University of Iowa students. Stores within the mall include Beat the Bookstores, Eicher Florist, Gamers, Hills Bank and The University of IA Hawk Shop, Book Shop and Computer Shop. Dining options include Buffalo Wild Wings, Cookies and More, Quizno's Subs, Seoul Grill, Sushi Kitchen, Sweets & Treats and Taco Bell. The Gazette Communications are also located within the mall. The Cedar Rapids Gazette, which is Iowa City's news bureau, now has offices located in the old Younkers site of the mall. The University of Iowa has moved their International Programs to the mall. These include the English as a Second Language Program and the UI Hospitals & Clinics patient financial services administrative staff. Student classrooms have also been added to the mall."
"Renaissance Savery Hotel","Iowa","Renaissance Savery Hotel - Des Moines IA - Renaissance Savery Hotel","The Renaissance Savery Hotel is a well-connected part of downtown Des Moines. It features a four mile climate controlled skywalk system. This system connects the hotel to many of the downtown convention and meeting centers. Winters, rains, winds and other inconveniences can be easily avoided, and the skywalk is also popular for parade watching although it is necessary to arrive early for a good window spot! The hotel targets mid-scale business and leisure travelers, although a few top of the line options are available. Guests have a choice from a variety of rooms available, ranging from basic up to a 4000 square foot penthouse. Each room includes an in-room workout package, wireless internet, concierge service, valet dry-cleaning, shoe shine service, and safe deposit boxes. The hotel also offers an indoor swimming pool and sauna for their guests. The Renaissance Savery Hotel offers its corporate travelers a full service business center and a choice of eleven meeting rooms that can accommodate up to 200 individuals. In addition to the business center there are many types of business equipment available for use at events. These include state-of-the-art audio and visual equipment, messaging service, video conferencing, and technical support staff on call. There are dedicated staff available to coordinate any meeting, including a catering staff that will design and prepare a custom menu. The hotel also offers wedding and special occasion packages featuring professional planning specialists. These specialists can help create a budget, design the dycor, choose a menu, and create seating arrangements. The Renaissance Hotel has an on-site restaurant, the Iowa Room, as well as Monihan's Speakeasy Lounge, and a coffee shop, the On the Go@401. There are also discounts available for AAA members, seniors, government employees, military personnel and for corporations booking groups at the hotel. For more information call the hotel at (515) 244-2151. The hotel is located at 401 Locust Street, Des Moines, IA 50309."
